dia,estacion,parametro,promedio,maximo
2024-01-01,AJM,CO,0.348695652173913,0.85
2024-01-01,AJM,NO,0.5652173913043478,6.0
2024-01-01,AJM,NO2,11.782608695652174,23.0
2024-01-01,AJM,NOX,12.26086956521739,29.0
2024-01-01,AJM,O3,40.21739130434783,87.0
2024-01-01,AJM,PM10,33.130434782608695,76.0
2024-01-01,AJM,PM2.5,26.0,67.0
2024-01-01,AJM,PMCO,7.130434782608695,13.0
2024-01-01,AJM,SO2,4.695652173913044,11.0
2024-01-01,AJU,O3,60.52173913043478,93.0
2024-01-01,ATI,CO,0.578695652173913,1.06
2024-01-01,ATI,NO,4.565217391304348,17.0
2024-01-01,ATI,NO2,22.217391304347824,40.0
2024-01-01,ATI,NOX,26.652173913043477,48.0
2024-01-01,ATI,O3,28.434782608695652,68.0
2024-01-01,ATI,PM10,57.78260869565217,118.0
2024-01-01,ATI,SO2,5.6521739130434785,14.0
2024-01-01,BJU,CO,0.8621739130434782,1.54
2024-01-01,BJU,NO2,27.73913043478261,55.0
2024-01-01,BJU,O3,40.0,99.0
2024-01-01,BJU,PM10,96.91304347826087,186.0
2024-01-01,BJU,PM2.5,79.08695652173913,159.0
2024-01-01,BJU,PMCO,17.82608695652174,31.0
2024-01-01,CAM,CO,0.928695652173913,1.67
2024-01-01,CAM,NO,11.434782608695652,37.0
2024-01-01,CAM,NO2,28.869565217391305,52.0
2024-01-01,CAM,NOX,40.130434782608695,75.0
2024-01-01,CAM,O3,37.34782608695652,108.0
2024-01-01,CAM,PM10,75.82608695652173,167.0
2024-01-01,CAM,PM2.5,59.608695652173914,142.0
2024-01-01,CAM,PMCO,16.217391304347824,33.0
2024-01-01,CAM,SO2,3.6363636363636362,7.0
2024-01-01,CCA,CO,0.6352173913043478,1.28
2024-01-01,CCA,NO,5.304347826086956,19.0
2024-01-01,CCA,NO2,21.869565217391305,40.0
2024-01-01,CCA,NOX,27.304347826086957,55.0
2024-01-01,CCA,O3,38.56521739130435,88.0
2024-01-01,CCA,PM2.5,53.22727272727273,97.0
2024-01-01,CCA,SO2,2.1739130434782608,4.0
2024-01-01,CHO,CO,0.9931818181818183,2.36
2024-01-01,CHO,NO,17.272727272727273,96.0
2024-01-01,CHO,NO2,20.863636363636363,36.0
2024-01-01,CHO,NOX,38.13636363636363,115.0
2024-01-01,CHO,O3,36.36363636363637,92.0
2024-01-01,CHO,SO2,2.8181818181818183,5.0
2024-01-01,CUA,CO,0.5008695652173912,0.98
2024-01-01,CUA,NO,1.565217391304348,3.0
2024-01-01,CUA,NO2,17.0,47.0
