estacion,PC1,PC2,nombre,zona
ACO,3.1325216876831163,-0.2986101568697507,Acolman,NE
AJM,3.8694022028526884,0.1838068713400185,Ajusco Medio,SO
ATI,0.36159400201562464,1.7451012858089872,Atizapán,NO
CAM,-2.710668455550482,0.059364179239683484,Camarones,NO
CCA,1.4006703933830913,-0.09304792019214468,Centro Ciencias Atmósfera,SO
CHO,-0.20280482090973495,-1.4637809958246266,Chalco,SE
CUA,3.2452422851842617,-0.19834552850358478,Cuajimalpa,SO
CUT,0.8726243208248536,1.7297269774909532,Cuautitlán,NO
FAC,-1.0819931840112553,0.3924239196076492,FES Acatlán,NO
HGM,-1.2712741763012416,0.355958723316016,Hospital General,CE
IZT,-0.9672839186686149,-0.8706778374107789,Iztacalco,CE
MER,-3.6071286390310884,-0.2744430569939328,Merced,CE
MGH,-1.671137567607142,0.15924456741744286,Miguel Hidalgo,CE
MON,1.563874734026755,-0.6901371215698057,Montecillo,NE
NEZ,0.028050206364431424,-0.5709122383825525,Nezahualcóyotl,SE
PED,2.4971986557064074,0.02603382763645376,Pedregal,SO
SAC,-0.319625697823124,-1.208925357415263,Santiago Acahualtepec,SE
SAG,-0.27347782254346953,0.03496257077143827,San Agustín,NE
TAH,2.725202176919688,-0.43600111236410566,Tláhuac,SE
TLA,-2.297929207995728,1.7780667365887122,Tlalnepantla,NO
TLI,-0.7284369779134502,0.9961001769953681,Tultitlán,NO
UAX,0.99051498130383,-0.9877710022256043,UAM Xochimilco,SE
UIZ,-0.5381363466021498,-0.48271619411059064,UAM Iztapalapa,SE
VIF,-0.4707403498595504,1.4539419423434126,Villa de las Flores,NE
XAL,-4.546258481447714,-1.3393632566933826,Xalostoc,NE
